HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2025-12-01 00:00,1602,1660,171,53,-740,0,62
2025-12-01 01:00,1524,1581,236,53,-765,0,36
2025-12-01 02:00,1468,1516,230,40,-617,0,25
2025-12-01 03:00,1445,1493,204,46,-650,0,24
2025-12-01 04:00,1455,1500,147,48,-628,0,28
2025-12-01 05:00,1488,1530,71,51,-652,0,35
2025-12-01 06:00,1557,1598,-50,52,-626,0,25
2025-12-01 07:00,1732,1781,-292,59,-639,0,104
2025-12-01 08:00,1890,1954,-298,60,-839,0,129
2025-12-01 09:00,1891,1958,-321,64,-815,0,128
2025-12-01 10:00,1850,1917,-282,64,-807,0,126
2025-12-01 11:00,1795,1862,-197,43,-889,0,106
2025-12-01 12:00,1761,1824,-130,40,-860,0,103
2025-12-01 13:00,1733,1791,-107,34,-760,0,78
2025-12-01 14:00,1766,1824,-129,34,-635,0,53
2025-12-01 15:00,1760,1821,-52,36,-698,0,42
2025-12-01 16:00,1774,1866,-166,44,-669,0,48
2025-12-01 17:00,1920,1995,-146,56,-624,0,84
2025-12-01 18:00,2030,2110,-47,67,-939,0,106
2025-12-01 19:00,2030,2110,71,67,-939,0,88
2025-12-01 20:00,2032,2109,72,68,-939,0,114
2025-12-01 21:00,2027,2102,2,74,-939,0,85
2025-12-01 22:00,1989,2061,-45,78,-885,0,91
2025-12-01 23:00,1927,1991,0,72,-800,0,87
2025-12-02 00:00,1871,1928,2,69,-740,0,103
2025-12-02 01:00,1836,1894,0,67,-715,0,98
2025-12-02 02:00,1840,1913,-122,62,-978,0,101
2025-12-02 03:00,1859,1932,-197,68,-984,0,170
2025-12-02 04:00,1885,1963,-253,68,-984,0,193
2025-12-02 05:00,1936,2016,-336,70,-984,0,196
2025-12-02 06:00,2017,2101,-348,71,-999,0,218
2025-12-02 07:00,2192,2292,-398,70,-1010,22,247
2025-12-02 08:00,2337,2446,-400,86,-1024,1,268
2025-12-02 09:00,2353,2463,-400,89,-1025,1,278
2025-12-02 10:00,2334,2442,-398,93,-1025,1,278
2025-12-02 11:00,2324,2432,-324,90,-1025,0,274
2025-12-02 12:00,2310,2417,-323,78,-1025,0,273
2025-12-02 13:00,2275,2381,-345,75,-1025,0,270
2025-12-02 14:00,2268,2373,-249,76,-1025,0,264
2025-12-02 15:00,2257,2360,-199,80,-1014,0,270
2025-12-02 16:00,2271,2374,-201,85,-1014,0,283
2025-12-02 17:00,2322,2432,-343,92,-1014,22,279
2025-12-02 18:00,2331,2439,-317,99,-1014,16,278
2025-12-02 19:00,2282,2380,-288,100,-1014,12,277
2025-12-02 20:00,2246,2338,-325,99,-775,22,277
2025-12-02 21:00,2182,2267,-395,97,-774,0,264
2025-12-02 22:00,2083,2160,-345,91,-774,0,250
2025-12-02 23:00,1961,2024,-199,84,-392,0,220
2025-12-03 00:00,1873,1937,-119,75,-773,0,201
2025-12-03 01:00,1805,1868,102,68,-774,0,185
2025-12-03 02:00,1778,1847,200,65,-959,0,165
2025-12-03 03:00,1749,1816,208,65,-969,0,139
2025-12-03 04:00,1754,1821,273,65,-969,0,96
2025-12-03 05:00,1767,1835,284,67,-969,0,63
2025-12-03 06:00,1824,1893,278,76,-969,0,60
2025-12-03 07:00,1925,1991,264,82,-926,0,81
2025-12-03 08:00,2060,2133,300,86,-974,0,94
2025-12-03 09:00,2075,2135,234,88,-252,0,90
2025-12-03 10:00,2044,2105,6,86,-524,0,107
2025-12-03 11:00,2025,2101,3,79,-1013,0,139
2025-12-03 12:00,1990,2057,81,76,-825,0,124
2025-12-03 13:00,1962,2039,172,70,-1009,0,124
2025-12-03 14:00,1955,2028,174,65,-1000,0,118
2025-12-03 15:00,1945,2018,167,72,-990,0,103
2025-12-03 16:00,1980,2053,124,83,-980,0,113
2025-12-03 17:00,2080,2158,27,90,-999,0,161
2025-12-03 18:00,2132,2213,2,98,-999,0,157
2025-12-03 19:00,2109,2189,2,98,-999,0,175
2025-12-03 20:00,2100,2182,2,97,-999,0,167
2025-12-03 21:00,2077,2163,0,97,-999,0,175
2025-12-03 22:00,2042,2129,-68,93,-999,0,193
2025-12-03 23:00,1975,2057,-59,89,-999,0,206
2025-12-04 00:00,1889,1966,-41,82,-980,0,189
2025-12-04 01:00,1831,1904,78,80,-980,0,189
2025-12-04 02:00,1806,1878,82,51,-980,0,188
2025-12-04 03:00,1799,1870,129,50,-980,0,184
2025-12-04 04:00,1795,1866,146,50,-980,0,187
2025-12-04 05:00,1833,1906,163,49,-980,0,173
2025-12-04 06:00,1898,1973,155,57,-980,0,189
2025-12-04 07:00,2055,2137,92,65,-980,0,203
2025-12-04 08:00,2180,2268,3,76,-980,0,218
2025-12-04 09:00,2139,2222,2,80,-989,0,231
2025-12-04 10:00,2092,2185,4,79,-910,0,214
2025-12-04 11:00,2062,2140,138,76,-889,0,193
2025-12-04 12:00,2029,2099,220,71,-909,0,186
2025-12-04 13:00,1993,2072,145,61,-894,0,184
2025-12-04 14:00,2007,2109,3,61,-968,0,173
2025-12-04 15:00,2028,2109,-59,65,-969,0,169
2025-12-04 16:00,2056,2137,-73,54,-1024,0,170
2025-12-04 17:00,2114,2200,0,58,-1000,0,180
2025-12-04 18:00,2171,2255,15,63,-1010,0,163
2025-12-04 19:00,2167,2239,-210,66,-301,0,214
2025-12-04 20:00,2190,2263,-165,65,-423,0,131
2025-12-04 21:00,2195,2274,-148,63,-823,0,131
2025-12-04 22:00,2179,2251,-63,70,-525,0,96
2025-12-04 23:00,2138,2226,214,62,-978,0,111
2025-12-05 00:00,2095,2185,407,54,-1024,0,109
2025-12-05 01:00,2090,2179,379,57,-1025,0,94
2025-12-05 02:00,2114,2204,389,51,-1025,0,92
2025-12-05 03:00,2148,2241,389,53,-1025,0,89
2025-12-05 04:00,2192,2284,324,57,-1025,0,116
2025-12-05 05:00,2248,2341,275,57,-1025,0,144
2025-12-05 06:00,2330,2424,108,57,-1025,0,140
2025-12-05 07:00,2480,2582,-387,67,-1025,0,176
2025-12-05 08:00,2618,2723,-397,79,-1025,0,176
2025-12-05 09:00,2657,2766,-396,88,-1025,0,180
2025-12-05 10:00,2611,2719,-342,84,-1025,0,184
2025-12-05 11:00,2542,2644,-53,69,-1025,0,185
2025-12-05 12:00,2484,2584,0,57,-1025,0,177
2025-12-05 13:00,2410,2507,2,59,-1025,0,173
2025-12-05 14:00,2352,2447,45,64,-1025,0,167
2025-12-05 15:00,2318,2412,44,70,-1025,0,167
2025-12-05 16:00,2330,2423,-12,80,-1025,28,169
2025-12-05 17:00,2435,2534,-167,96,-1025,0,179
2025-12-05 18:00,2513,2615,-296,101,-1025,0,183
2025-12-05 19:00,2492,2577,-367,102,-525,23,178
2025-12-05 20:00,2464,2563,-249,92,-1023,23,186
2025-12-05 21:00,2434,2527,-219,89,-836,23,201
2025-12-05 22:00,2397,2488,-72,86,-847,43,207
2025-12-05 23:00,2323,2418,1,78,-1024,0,195
2025-12-06 00:00,2252,2342,49,72,-1025,0,195
2025-12-06 01:00,2221,2308,73,70,-1025,0,180
2025-12-06 02:00,2205,2292,50,68,-1025,0,183
2025-12-06 03:00,2211,2299,50,69,-1025,0,189
2025-12-06 04:00,2240,2330,67,78,-1025,0,194
2025-12-06 05:00,2264,2357,28,87,-1025,0,203
2025-12-06 06:00,2311,2410,-143,88,-1025,0,230
2025-12-06 07:00,2385,2492,-265,88,-1039,29,261
2025-12-06 08:00,2474,2587,-397,99,-1025,48,270
2025-12-06 09:00,2539,2655,-400,110,-1037,14,287
2025-12-06 10:00,2545,2661,-400,107,-1037,14,287
2025-12-06 11:00,2501,2614,-400,98,-1039,15,285
2025-12-06 12:00,2441,2551,-400,85,-1025,2,287
2025-12-06 13:00,2356,2463,-399,77,-1025,49,285
2025-12-06 14:00,2296,2397,-358,70,-1025,29,277
2025-12-06 15:00,2264,2361,-243,83,-1025,0,266
2025-12-06 16:00,2261,2361,-217,92,-1039,1,269
2025-12-06 17:00,2310,2416,-371,91,-1025,73,283
2025-12-06 18:00,2338,2442,-378,91,-1025,80,279
2025-12-06 19:00,2286,2389,-246,94,-1025,95,283
2025-12-06 20:00,2227,2327,-106,92,-1025,74,283
2025-12-06 21:00,2171,2265,-29,95,-1025,30,276
2025-12-06 22:00,2109,2197,3,82,-1025,0,255
2025-12-06 23:00,2021,2100,84,84,-1025,0,245
2025-12-07 00:00,1955,2030,123,86,-1025,0,228
2025-12-07 01:00,1870,1944,119,84,-1025,0,205
2025-12-07 02:00,1825,1897,139,79,-1010,0,179
2025-12-07 03:00,1816,1889,107,78,-1010,0,180
2025-12-07 04:00,1820,1892,108,78,-1010,0,176
2025-12-07 05:00,1833,1905,83,66,-1024,0,185
2025-12-07 06:00,1858,1930,125,66,-1025,0,169
2025-12-07 07:00,1924,1997,134,48,-1025,0,173
2025-12-07 08:00,1996,2072,154,58,-1025,0,175
2025-12-07 09:00,2088,2169,154,67,-1025,0,186
2025-12-07 10:00,2065,2148,164,69,-1025,0,171
2025-12-07 11:00,2038,2120,155,61,-1025,0,198
2025-12-07 12:00,2001,2081,171,50,-1025,0,185
2025-12-07 13:00,1972,2051,186,44,-1025,0,180
2025-12-07 14:00,1938,2017,207,57,-1025,0,190
2025-12-07 15:00,1931,2009,201,80,-1025,0,180
2025-12-07 16:00,1983,2063,178,87,-1025,0,199
2025-12-07 17:00,2147,2233,73,94,-1025,1,230
2025-12-07 18:00,2259,2353,-71,96,-1025,73,231
2025-12-07 19:00,2261,2354,-74,98,-1025,74,247
2025-12-07 20:00,2265,2359,-74,99,-1025,74,235
2025-12-07 21:00,2245,2338,-74,97,-1025,74,225
2025-12-07 22:00,2170,2259,-35,95,-1025,73,232
2025-12-07 23:00,2083,2167,67,93,-1025,1,222
2025-12-08 00:00,2014,2095,83,87,-1025,0,216
2025-12-08 01:00,1958,2038,51,86,-1025,0,218
2025-12-08 02:00,1943,2021,19,95,-1025,0,226
2025-12-08 03:00,1954,2034,2,96,-1025,0,227
2025-12-08 04:00,1959,2041,2,96,-1025,0,236
2025-12-08 05:00,2001,2085,0,96,-1025,0,241
2025-12-08 06:00,2086,2171,-49,96,-1025,0,234
2025-12-08 07:00,2289,2377,-173,97,-1025,22,269
2025-12-08 08:00,2470,2571,-372,90,-1025,23,261
2025-12-08 09:00,2507,2613,-398,90,-1025,26,232
2025-12-08 10:00,2490,2596,-364,85,-1025,109,227
2025-12-08 11:00,2464,2568,-310,76,-1025,134,206
2025-12-08 12:00,2399,2498,-152,66,-1025,100,195
2025-12-08 13:00,2347,2442,-78,58,-1025,72,171
2025-12-08 14:00,2321,2405,-148,60,-878,3,143
2025-12-08 15:00,2304,2386,-149,81,-832,0,153
2025-12-08 16:00,2350,2434,-149,88,-830,0,171
2025-12-08 17:00,2492,2593,-153,91,-980,30,194
2025-12-08 18:00,2600,2708,-300,94,-1024,98,206
2025-12-08 19:00,2606,2713,-165,97,-1001,74,206
2025-12-08 20:00,2587,2691,-215,91,-956,30,195
2025-12-08 21:00,2546,2646,-135,89,-920,0,208
2025-12-08 22:00,2482,2573,-260,87,-692,0,184
2025-12-08 23:00,2400,2491,-107,85,-918,22,202
2025-12-09 00:00,2321,2407,-12,81,-920,22,166
2025-12-09 01:00,2274,2364,160,72,-1024,0,221
2025-12-09 02:00,2281,2372,232,50,-1025,0,134
2025-12-09 03:00,2294,2385,179,54,-1025,0,149
2025-12-09 04:00,2319,2410,107,53,-1025,0,158
2025-12-09 05:00,2367,2461,91,48,-1025,0,161
2025-12-09 06:00,2447,2544,-34,55,-1025,28,164
2025-12-09 07:00,2607,2713,-392,63,-1025,1,185
2025-12-09 08:00,2758,2873,-400,69,-982,1,199
2025-12-09 09:00,2745,2850,-400,75,-502,2,209
2025-12-09 10:00,2680,2782,-397,73,-774,3,213
2025-12-09 11:00,2584,2695,-295,66,-1024,87,203
2025-12-09 12:00,2494,2591,-391,60,-775,74,181
2025-12-09 13:00,2400,2501,-126,61,-1024,45,171
2025-12-09 14:00,2341,2438,-58,72,-1025,44,176
2025-12-09 15:00,2309,2404,-49,88,-1025,44,176
2025-12-09 16:00,2334,2426,-287,93,-922,44,184
2025-12-09 17:00,2490,2595,-397,102,-1024,2,219
2025-12-09 18:00,2590,2698,-400,106,-1025,2,222
2025-12-09 19:00,2574,2682,-400,105,-1035,11,222
2025-12-09 20:00,2577,2672,-400,101,-775,4,200
2025-12-09 21:00,2547,2654,-396,103,-1024,97,202
2025-12-09 22:00,2474,2578,-236,101,-1014,133,201
2025-12-09 23:00,2375,2467,-153,95,-952,74,186
2025-12-10 00:00,2286,2370,-228,95,-920,1,161
2025-12-10 01:00,2219,2301,-198,93,-942,0,155
2025-12-10 02:00,2209,2296,-54,79,-1014,0,172
2025-12-10 03:00,2202,2288,-122,74,-1014,0,175
2025-12-10 04:00,2193,2279,-149,69,-1000,0,184
2025-12-10 05:00,2208,2297,-150,69,-999,0,197
2025-12-10 06:00,2268,2360,-175,77,-999,0,214
2025-12-10 07:00,2417,2516,-225,84,-1014,1,237
2025-12-10 08:00,2543,2652,-373,92,-1025,50,267
2025-12-10 09:00,2506,2602,-377,102,-751,51,258
2025-12-10 10:00,2440,2530,-399,102,-774,29,220
2025-12-10 11:00,2366,2460,-377,98,-1024,0,226
2025-12-10 12:00,2278,2370,-399,101,-1025,0,206
2025-12-10 13:00,2181,2272,-399,99,-1025,0,194
2025-12-10 14:00,2142,2234,-389,99,-1025,0,214
2025-12-10 15:00,2163,2255,-397,98,-1025,0,223
2025-12-10 16:00,2244,2343,-285,101,-1025,0,233
2025-12-10 17:00,2336,2440,-397,105,-1025,0,274
2025-12-10 18:00,2376,2476,-400,106,-1025,0,270
2025-12-10 19:00,2329,2420,-397,98,-775,0,270
2025-12-10 20:00,2280,2378,-291,89,-1024,0,269
2025-12-10 21:00,2216,2314,-331,87,-1025,0,265
2025-12-10 22:00,2116,2201,-335,83,-991,0,266
2025-12-10 23:00,1994,2073,-209,83,-968,0,234
2025-12-11 00:00,1870,1947,-53,82,-968,0,166
2025-12-11 01:00,1779,1855,79,83,-965,0,113
2025-12-11 02:00,1729,1802,140,81,-989,0,93
2025-12-11 03:00,1697,1768,183,79,-970,0,90
2025-12-11 04:00,1680,1748,149,81,-999,0,66
2025-12-11 05:00,1696,1761,119,83,-999,0,53
2025-12-11 06:00,1759,1824,46,85,-999,0,74
2025-12-11 07:00,1887,1956,-122,91,-999,0,85
2025-12-11 08:00,2024,2100,-232,94,-1024,0,115
2025-12-11 09:00,2033,2113,-199,102,-1025,0,88
2025-12-11 10:00,1996,2074,-231,102,-1025,0,149
2025-12-11 11:00,1964,2042,-198,101,-1025,0,148
2025-12-11 12:00,1960,2033,-172,97,-1025,0,127
2025-12-11 13:00,1917,1988,-120,98,-1000,0,115
2025-12-11 14:00,1916,1989,-137,102,-999,0,89
2025-12-11 15:00,1918,1992,-150,102,-999,0,83
2025-12-11 16:00,1959,2036,-297,98,-999,0,99
2025-12-11 17:00,2041,2122,-395,103,-999,0,135
2025-12-11 18:00,2090,2174,-399,102,-999,0,170
2025-12-11 19:00,2095,2166,-399,98,-774,0,188
2025-12-11 20:00,2100,2175,-398,82,-999,0,186
2025-12-11 21:00,2079,2156,-395,80,-999,0,126
2025-12-11 22:00,2036,2116,-300,76,-999,0,113
2025-12-11 23:00,1978,2058,-104,72,-999,0,105
2025-12-12 00:00,1927,2006,-38,69,-990,0,115
2025-12-12 01:00,1897,1975,-35,67,-990,0,119
2025-12-12 02:00,1905,1984,-47,65,-980,0,122
2025-12-12 03:00,1922,2000,-49,58,-980,0,109
2025-12-12 04:00,1944,2024,-96,57,-980,0,76
2025-12-12 05:00,1998,2081,-134,57,-980,0,86
2025-12-12 06:00,2073,2158,-200,57,-999,0,90
2025-12-12 07:00,2251,2342,-393,60,-990,0,119
2025-12-12 08:00,2413,2515,-399,64,-1024,0,153
2025-12-12 09:00,2437,2526,-400,62,-775,0,162
2025-12-12 10:00,2396,2484,-399,69,-2,0,154
2025-12-12 11:00,2343,2439,-398,71,-1023,0,150
2025-12-12 12:00,2306,2402,-395,68,-1025,0,143
2025-12-12 13:00,2261,2357,-299,64,-1025,0,137
2025-12-12 14:00,2245,2343,-270,63,-1025,0,137
2025-12-12 15:00,2226,2321,-273,63,-1025,0,133
2025-12-12 16:00,2241,2336,-318,63,-1025,0,150
2025-12-12 17:00,2325,2425,-386,71,-1025,0,172
2025-12-12 18:00,2379,2481,-399,78,-1025,0,184
2025-12-12 19:00,2336,2436,-399,79,-1025,0,172
2025-12-12 20:00,2299,2396,-397,78,-1000,0,167
2025-12-12 21:00,2257,2351,-373,74,-999,0,153
2025-12-12 22:00,2192,2283,-264,74,-999,0,136
2025-12-12 23:00,2116,2204,-239,71,-999,0,123
2025-12-13 00:00,2039,2126,-126,64,-985,0,112
2025-12-13 01:00,1979,2063,-35,58,-984,0,108
2025-12-13 02:00,1946,2029,-6,51,-984,0,68
2025-12-13 03:00,1943,2025,-7,51,-984,0,68
2025-12-13 04:00,1952,2036,-67,52,-984,0,69
2025-12-13 05:00,1976,2061,-74,58,-984,0,110
2025-12-13 06:00,2002,2086,-112,57,-984,0,132
2025-12-13 07:00,2070,2157,-148,61,-999,0,150
2025-12-13 08:00,2164,2256,-229,65,-999,0,147
2025-12-13 09:00,2241,2336,-394,74,-999,0,150
2025-12-13 10:00,2236,2330,-399,81,-1024,0,167
2025-12-13 11:00,2186,2276,-399,80,-1025,0,163
2025-12-13 12:00,2127,2214,-398,82,-1000,0,173
2025-12-13 13:00,2074,2158,-398,81,-999,0,167
2025-12-13 14:00,2028,2109,-349,84,-999,0,155
2025-12-13 15:00,2022,2101,-345,86,-999,0,164
2025-12-13 16:00,2069,2151,-398,91,-999,0,187
2025-12-13 17:00,2187,2275,-398,100,-999,30,192
2025-12-13 18:00,2268,2363,-344,101,-999,97,221
2025-12-13 19:00,2256,2345,-245,102,-999,45,232
2025-12-13 20:00,2243,2329,-198,101,-999,1,217
2025-12-13 21:00,2231,2319,-201,96,-999,0,208
2025-12-13 22:00,2197,2287,-371,96,-999,0,204
2025-12-13 23:00,2140,2229,-399,89,-999,0,230
2025-12-14 00:00,2077,2164,-399,86,-999,0,227
2025-12-14 01:00,2019,2103,-391,90,-999,0,242
2025-12-14 02:00,1984,2066,-399,87,-999,0,243
2025-12-14 03:00,1979,2060,-398,88,-999,0,244
2025-12-14 04:00,1981,2062,-399,88,-999,0,237
2025-12-14 05:00,2000,2082,-392,85,-999,0,243
2025-12-14 06:00,2034,2117,-399,87,-999,0,244
2025-12-14 07:00,2108,2196,-370,88,-999,0,247
2025-12-14 08:00,2195,2285,-399,89,-999,0,257
2025-12-14 09:00,2281,2378,-400,97,-999,0,270
2025-12-14 10:00,2330,2433,-400,97,-999,0,274
2025-12-14 11:00,2308,2410,-400,96,-999,0,273
2025-12-14 12:00,2266,2366,-400,91,-1024,0,274
2025-12-14 13:00,2217,2313,-400,88,-1025,0,279
2025-12-14 14:00,2167,2260,-400,89,-1025,0,271
2025-12-14 15:00,2158,2249,-399,91,-1025,0,259
2025-12-14 16:00,2183,2275,-398,93,-1000,1,257
2025-12-14 17:00,2264,2362,-394,96,-999,73,276
2025-12-14 18:00,2322,2424,-145,102,-1024,88,279
2025-12-14 19:00,2295,2391,-149,103,-1025,45,260
2025-12-14 20:00,2272,2363,-150,98,-1000,0,234
2025-12-14 21:00,2204,2292,-197,86,-999,0,228
2025-12-14 22:00,2145,2230,-196,83,-999,0,176
2025-12-14 23:00,2052,2132,-124,94,-999,0,148
2025-12-15 00:00,1970,2046,-123,94,-999,0,156
2025-12-15 01:00,1913,1984,-76,83,-999,0,98
2025-12-15 02:00,1889,1959,44,82,-975,0,74
2025-12-15 03:00,1881,1951,73,81,-975,0,72
2025-12-15 04:00,1905,1974,130,83,-975,0,58
2025-12-15 05:00,1951,2020,131,83,-975,0,62
2025-12-15 06:00,2031,2106,122,86,-975,0,82
2025-12-15 07:00,2220,2306,-71,81,-999,0,110
2025-12-15 08:00,2386,2483,-194,79,-1024,0,129
2025-12-15 09:00,2428,2527,-148,84,-1025,0,132
2025-12-15 10:00,2415,2516,-100,84,-1025,0,135
2025-12-15 11:00,2404,2505,-42,81,-1025,0,137
2025-12-15 12:00,2389,2490,78,65,-1025,0,140
2025-12-15 13:00,2359,2461,150,61,-1025,0,144
2025-12-15 14:00,2337,2440,151,61,-1025,0,132
2025-12-15 15:00,2313,2414,133,63,-1025,0,147
2025-12-15 16:00,2329,2430,124,68,-1025,0,177
2025-12-15 17:00,2434,2539,170,80,-1025,0,183
2025-12-15 18:00,2505,2613,189,87,-1025,0,199
2025-12-15 19:00,2473,2580,133,89,-1025,0,206
2025-12-15 20:00,2449,2555,133,84,-1025,0,186
2025-12-15 21:00,2409,2515,150,83,-1025,0,194
2025-12-15 22:00,2343,2445,271,75,-1025,0,181
2025-12-15 23:00,2247,2343,275,68,-1025,0,161
2025-12-16 00:00,2155,2245,275,67,-1000,0,150
2025-12-16 01:00,2092,2178,259,64,-999,0,113
2025-12-16 02:00,2090,2167,229,59,-791,0,119
2025-12-16 03:00,2096,2168,142,59,-666,0,120
2025-12-16 04:00,2111,2185,218,61,-690,0,124
2025-12-16 05:00,2167,2244,211,63,-740,0,138
2025-12-16 06:00,2241,2326,218,64,-780,1,158
2025-12-16 07:00,2418,2519,127,73,-880,74,190
2025-12-16 08:00,2592,2712,58,77,-1024,142,215
2025-12-16 09:00,2603,2723,63,83,-1025,138,217
2025-12-16 10:00,2500,2611,54,76,-966,139,214
2025-12-16 11:00,2398,2498,98,74,-941,110,214
2025-12-16 12:00,2286,2380,130,73,-941,104,189
2025-12-16 13:00,2186,2275,181,75,-941,75,173
2025-12-16 14:00,2138,2222,170,76,-941,74,181
2025-12-16 15:00,2105,2186,159,76,-916,74,192
2025-12-16 16:00,2131,2216,169,77,-916,75,206
2025-12-16 17:00,2249,2344,127,88,-940,95,237
2025-12-16 18:00,2343,2445,59,97,-941,133,240
2025-12-16 19:00,2330,2428,81,101,-941,128,247
2025-12-16 20:00,2321,2419,148,97,-941,136,217
2025-12-16 21:00,2289,2377,209,89,-941,48,198
2025-12-16 22:00,2219,2304,228,83,-941,0,186
2025-12-16 23:00,2117,2196,226,75,-891,0,161
2025-12-17 00:00,2012,2088,248,68,-915,0,153
2025-12-17 01:00,1936,2009,263,64,-891,0,137
2025-12-17 02:00,1899,1977,550,62,-949,0,125
2025-12-17 03:00,1875,1954,554,62,-950,0,133
2025-12-17 04:00,1864,1943,555,61,-950,0,136
2025-12-17 05:00,1885,1962,526,62,-950,0,141
2025-12-17 06:00,1941,2019,553,63,-950,0,125
2025-12-17 07:00,2058,2140,579,69,-950,0,133
2025-12-17 08:00,2142,2232,645,71,-999,0,152
2025-12-17 09:00,2124,2211,654,75,-999,0,140
2025-12-17 10:00,2062,2147,630,77,-999,0,163
2025-12-17 11:00,2007,2088,547,81,-999,0,162
2025-12-17 12:00,1952,2030,540,76,-993,0,126
2025-12-17 13:00,1897,1973,541,76,-999,0,88
2025-12-17 14:00,1893,1968,625,80,-999,0,89
2025-12-17 15:00,1889,1964,703,77,-999,0,85
2025-12-17 16:00,1898,1974,619,79,-999,0,90
2025-12-17 17:00,1963,2041,529,83,-999,0,126
2025-12-17 18:00,1997,2078,537,88,-999,0,132
2025-12-17 19:00,1970,2049,580,87,-999,0,136
2025-12-17 20:00,1946,2025,573,77,-999,0,133
2025-12-17 21:00,1925,1998,556,71,-951,0,117
2025-12-17 22:00,1863,1925,364,74,-691,0,101
2025-12-17 23:00,1793,1859,566,66,-856,0,85
2025-12-18 00:00,1700,1757,451,61,-604,0,81
2025-12-18 01:00,1640,1690,284,57,-352,0,72
2025-12-18 02:00,1618,1666,280,49,-302,0,70
2025-12-18 03:00,1630,1676,277,48,-316,0,39
2025-12-18 04:00,1649,1696,294,48,-332,0,38
2025-12-18 05:00,1695,1744,303,49,-391,0,37
2025-12-18 06:00,1790,1842,306,51,-510,0,38
2025-12-18 07:00,1979,2045,345,63,-779,0,71
2025-12-18 08:00,2153,2229,260,79,-885,1,133
2025-12-18 09:00,2176,2254,147,90,-850,73,145
2025-12-18 10:00,2093,2168,121,75,-825,74,139
2025-12-18 11:00,2007,2078,100,73,-795,74,122
2025-12-18 12:00,1949,2019,67,67,-811,74,137
2025-12-18 13:00,1889,1955,60,61,-727,74,150
