HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2025-11-01 00:00,1208,1247,72,42,-480,0,45
2025-11-01 01:00,1167,1204,121,34,-470,0,51
2025-11-01 02:00,1127,1165,170,39,-470,0,47
2025-11-01 03:00,1111,1149,210,40,-470,0,23
2025-11-01 04:00,1110,1149,228,40,-470,0,5
2025-11-01 05:00,1121,1161,233,39,-470,0,-4
2025-11-01 06:00,1143,1184,207,41,-470,0,-11
2025-11-01 07:00,1198,1242,242,32,-470,0,4
2025-11-01 08:00,1276,1322,164,33,-470,0,21
2025-11-01 09:00,1349,1395,29,36,-470,0,21
2025-11-01 10:00,1410,1461,26,34,-470,0,22
2025-11-01 11:00,1428,1479,26,31,-470,0,23
2025-11-01 12:00,1435,1486,27,20,-470,0,25
2025-11-01 13:00,1422,1474,74,13,-470,0,21
2025-11-01 14:00,1402,1455,100,12,-470,0,7
2025-11-01 15:00,1378,1431,137,3,-470,0,12
2025-11-01 16:00,1373,1427,151,3,-470,0,28
2025-11-01 17:00,1403,1456,112,11,-470,0,21
2025-11-01 18:00,1440,1494,50,25,-499,0,40
2025-11-01 19:00,1468,1521,3,28,-499,0,62
2025-11-01 20:00,1467,1520,2,28,-489,0,54
2025-11-01 21:00,1449,1501,29,29,-489,0,33
2025-11-01 22:00,1406,1457,103,27,-489,0,21
2025-11-01 23:00,1346,1397,142,23,-489,0,20
2025-11-02 00:00,1302,1350,147,21,-489,0,14
2025-11-02 01:00,1262,1310,179,18,-480,0,-2
2025-11-02 01:00,1241,1286,161,24,-480,0,0
2025-11-02 02:00,1216,1261,151,24,-480,0,-21
2025-11-02 03:00,1216,1259,123,24,-480,0,-8
2025-11-02 04:00,1229,1269,64,27,-480,0,3
2025-11-02 05:00,1251,1291,67,14,-480,0,-11
2025-11-02 06:00,1290,1329,29,16,-480,0,-10
2025-11-02 07:00,1344,1383,1,17,-480,0,4
2025-11-02 08:00,1424,1462,-73,12,-480,0,21
2025-11-02 09:00,1472,1511,-149,15,-475,0,30
2025-11-02 10:00,1470,1509,-306,8,-475,0,27
2025-11-02 11:00,1453,1494,-287,10,-465,0,58
2025-11-02 12:00,1434,1476,-225,-3,-465,0,94
2025-11-02 13:00,1411,1449,-287,-23,-465,0,96
2025-11-02 14:00,1385,1425,-218,-19,-465,0,84
2025-11-02 15:00,1368,1408,-238,-8,-465,0,88
2025-11-02 16:00,1389,1429,-288,14,-465,0,86
2025-11-02 17:00,1467,1508,-390,39,-465,0,144
2025-11-02 18:00,1540,1583,-397,49,-475,0,154
2025-11-02 19:00,1543,1588,-399,53,-475,0,108
2025-11-02 20:00,1532,1578,-370,54,-475,0,79
2025-11-02 21:00,1514,1561,-224,50,-475,0,95
2025-11-02 22:00,1468,1511,-223,50,-475,0,96
