HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2025-09-01 00:00,1085,1118,1,53,-472,0,133
2025-09-01 01:00,1026,1056,-26,50,-427,0,138
2025-09-01 02:00,984,1011,1,57,-392,0,124
2025-09-01 03:00,964,989,5,54,-382,0,112
2025-09-01 04:00,966,991,-37,54,-377,0,114
2025-09-01 05:00,982,1009,5,54,-412,0,111
2025-09-01 06:00,995,1024,1,60,-451,0,131
2025-09-01 07:00,1019,1051,-43,66,-501,44,143
2025-09-01 08:00,1076,1110,-44,68,-561,45,148
2025-09-01 09:00,1157,1197,-89,66,-649,89,156
2025-09-01 10:00,1244,1289,-111,52,-690,89,145
2025-09-01 11:00,1300,1347,-150,35,-740,89,145
2025-09-01 12:00,1333,1382,-146,16,-760,89,143
2025-09-01 13:00,1343,1390,-184,14,-741,89,140
2025-09-01 14:00,1337,1382,-194,12,-721,89,137
2025-09-01 15:00,1328,1373,-171,11,-720,89,133
2025-09-01 16:00,1337,1386,-148,13,-760,89,140
2025-09-01 17:00,1380,1432,-175,19,-790,90,145
2025-09-01 18:00,1401,1458,-170,30,-828,99,168
2025-09-01 19:00,1386,1445,-136,51,-833,100,186
2025-09-01 20:00,1363,1422,-97,77,-844,100,193
2025-09-01 21:00,1363,1421,-60,84,-830,98,188
2025-09-01 22:00,1302,1356,62,82,-829,45,181
2025-09-01 23:00,1200,1239,-30,73,-591,0,165
2025-09-02 00:00,1109,1143,1,69,-502,0,151
2025-09-02 01:00,1047,1078,1,57,-476,0,141
2025-09-02 02:00,1011,1040,-16,62,-432,0,136
2025-09-02 03:00,1001,1029,-20,64,-421,0,130
2025-09-02 04:00,992,1021,-23,65,-421,0,129
2025-09-02 05:00,1004,1034,1,64,-456,0,129
2025-09-02 06:00,1042,1076,1,67,-546,0,133
2025-09-02 07:00,1169,1209,-43,73,-649,44,152
2025-09-02 08:00,1282,1330,-73,80,-735,74,174
2025-09-02 09:00,1312,1367,-53,76,-838,74,167
2025-09-02 10:00,1341,1395,-74,73,-831,74,167
2025-09-02 11:00,1369,1423,-74,44,-831,74,152
2025-09-02 12:00,1390,1444,-74,27,-821,74,147
2025-09-02 13:00,1387,1440,-75,20,-816,74,148
2025-09-02 14:00,1410,1461,-114,16,-766,74,149
2025-09-02 15:00,1407,1458,-135,11,-756,74,148
2025-09-02 16:00,1426,1480,-149,20,-790,75,154
2025-09-02 17:00,1477,1538,-172,41,-840,105,168
2025-09-02 18:00,1485,1551,-89,59,-863,106,189
2025-09-02 19:00,1447,1512,-111,74,-879,106,199
2025-09-02 20:00,1401,1463,-83,88,-880,106,197
2025-09-02 21:00,1390,1450,-34,92,-880,104,197
2025-09-02 22:00,1326,1382,98,90,-880,45,179
2025-09-02 23:00,1197,1232,-80,81,-532,0,141
2025-09-03 00:00,1099,1129,0,73,-437,0,117
2025-09-03 01:00,1037,1064,-18,67,-392,0,89
2025-09-03 02:00,1007,1033,-41,57,-302,0,84
2025-09-03 03:00,986,1011,-55,56,-291,0,86
2025-09-03 04:00,975,1002,-61,56,-291,0,95
2025-09-03 05:00,983,1011,-28,56,-326,0,104
2025-09-03 06:00,1024,1054,-22,59,-416,0,110
2025-09-03 07:00,1142,1175,-67,66,-516,0,135
2025-09-03 08:00,1259,1301,-42,78,-669,0,150
2025-09-03 09:00,1288,1335,-23,70,-763,0,164
2025-09-03 10:00,1311,1362,-43,56,-770,44,160
2025-09-03 11:00,1333,1385,-54,31,-761,44,157
2025-09-03 12:00,1347,1399,-73,17,-751,44,146
2025-09-03 13:00,1346,1397,-62,6,-736,44,144
2025-09-03 14:00,1364,1412,-94,5,-706,44,148
2025-09-03 15:00,1366,1413,-99,10,-705,44,139
2025-09-03 16:00,1379,1428,-95,16,-725,44,137
2025-09-03 17:00,1415,1467,-150,30,-726,44,160
2025-09-03 18:00,1426,1481,-137,56,-743,44,180
2025-09-03 19:00,1405,1456,-163,69,-694,44,190
2025-09-03 20:00,1377,1437,31,81,-879,44,188
2025-09-03 21:00,1374,1434,66,86,-877,44,175
2025-09-03 22:00,1303,1342,-133,83,-561,0,164
2025-09-03 23:00,1208,1242,-48,75,-525,0,134
2025-09-04 00:00,1125,1154,-52,67,-392,0,107
2025-09-04 01:00,1055,1081,-60,63,-332,0,96
2025-09-04 02:00,1023,1048,-44,65,-287,0,79
2025-09-04 03:00,1003,1028,-76,62,-277,0,82
2025-09-04 04:00,990,1015,-53,62,-291,0,83
2025-09-04 05:00,996,1021,-36,61,-291,0,86
2025-09-04 06:00,1033,1061,-63,63,-361,0,93
2025-09-04 07:00,1158,1191,-31,84,-511,0,117
2025-09-04 08:00,1291,1330,-111,90,-610,0,133
2025-09-04 09:00,1312,1356,-86,79,-665,0,148
2025-09-04 10:00,1317,1363,-59,67,-715,0,139
2025-09-04 11:00,1335,1381,-61,48,-720,0,145
2025-09-04 12:00,1355,1401,-92,35,-726,0,141
2025-09-04 13:00,1354,1401,-67,21,-726,0,137
2025-09-04 14:00,1376,1423,-85,16,-721,3,137
2025-09-04 15:00,1374,1424,-189,22,-731,71,137
2025-09-04 16:00,1391,1444,-165,28,-757,75,149
2025-09-04 17:00,1427,1483,-249,35,-761,89,163
2025-09-04 18:00,1428,1486,-250,54,-764,98,192
2025-09-04 19:00,1403,1465,-98,80,-849,45,207
2025-09-04 20:00,1367,1425,-20,92,-859,0,214
2025-09-04 21:00,1367,1424,60,92,-850,0,202
2025-09-04 22:00,1310,1359,30,75,-794,0,169
2025-09-04 23:00,1210,1248,-70,68,-572,0,145
2025-09-05 00:00,1120,1152,-25,66,-462,0,121
2025-09-05 01:00,1051,1081,-59,61,-342,0,96
2025-09-05 02:00,1024,1051,-36,61,-302,0,94
2025-09-05 03:00,1002,1031,-73,58,-257,0,93
2025-09-05 04:00,983,1011,-80,49,-262,0,94
2025-09-05 05:00,987,1015,-25,49,-291,0,100
2025-09-05 06:00,1026,1055,0,53,-391,0,103
2025-09-05 07:00,1150,1184,-21,57,-501,0,131
2025-09-05 08:00,1275,1316,0,61,-614,0,145
2025-09-05 09:00,1309,1355,-38,63,-715,43,146
2025-09-05 10:00,1344,1404,143,65,-919,44,154
2025-09-05 11:00,1355,1403,-69,61,-741,44,154
2025-09-05 12:00,1362,1410,-102,56,-741,44,134
2025-09-05 13:00,1357,1404,-45,52,-731,44,122
2025-09-05 14:00,1366,1411,-56,56,-691,45,124
2025-09-05 15:00,1356,1401,-89,55,-701,89,104
2025-09-05 16:00,1356,1401,-115,55,-710,119,106
2025-09-05 17:00,1381,1441,86,57,-909,119,89
2025-09-05 18:00,1368,1432,136,58,-910,119,116
2025-09-05 19:00,1331,1393,144,54,-877,119,119
2025-09-05 20:00,1296,1354,126,79,-899,119,143
2025-09-05 21:00,1286,1342,212,77,-877,75,144
2025-09-05 22:00,1238,1288,200,65,-762,49,114
2025-09-05 23:00,1167,1209,118,56,-570,1,105
2025-09-06 00:00,1102,1136,51,48,-301,0,81
2025-09-06 01:00,1035,1065,-112,43,-162,0,58
2025-09-06 02:00,982,1011,-28,46,-122,0,55
2025-09-06 03:00,961,990,-118,45,-102,0,47
2025-09-06 04:00,950,977,2,45,-148,0,36
2025-09-06 05:00,949,976,2,45,-152,0,30
2025-09-06 06:00,966,994,-2,47,-201,0,42
2025-09-06 07:00,1009,1038,-17,48,-271,0,75
2025-09-06 08:00,1072,1101,-18,49,-361,0,95
2025-09-06 09:00,1155,1188,-19,55,-446,0,103
2025-09-06 10:00,1237,1292,263,48,-875,0,102
2025-09-06 11:00,1287,1344,183,49,-881,0,95
2025-09-06 12:00,1312,1370,168,43,-892,0,89
2025-09-06 13:00,1324,1383,226,34,-883,0,79
2025-09-06 14:00,1333,1395,290,33,-889,0,71
2025-09-06 15:00,1318,1379,279,37,-879,0,68
2025-09-06 16:00,1315,1377,273,36,-871,0,90
2025-09-06 17:00,1334,1394,332,55,-855,0,64
2025-09-06 18:00,1331,1391,292,67,-865,0,108
2025-09-06 19:00,1306,1367,291,63,-865,0,115
2025-09-06 20:00,1282,1340,284,61,-858,0,109
2025-09-06 21:00,1266,1322,285,62,-826,0,120
2025-09-06 22:00,1208,1257,290,73,-742,0,102
2025-09-06 23:00,1149,1192,221,69,-672,0,74
2025-09-07 00:00,1084,1124,274,55,-592,0,51
2025-09-07 01:00,1035,1072,236,60,-527,0,69
2025-09-07 02:00,1006,1038,77,56,-388,0,65
2025-09-07 03:00,997,1024,-36,57,-227,0,74
2025-09-07 04:00,977,1003,-66,53,-227,0,81
2025-09-07 05:00,971,996,-120,52,-276,0,85
2025-09-07 06:00,976,1003,-75,50,-336,0,101
2025-09-07 07:00,1004,1034,-53,52,-411,0,117
2025-09-07 08:00,1053,1086,-55,57,-473,24,146
2025-09-07 09:00,1138,1176,-143,57,-516,49,149
2025-09-07 10:00,1215,1261,-187,60,-619,74,160
2025-09-07 11:00,1260,1309,-215,59,-665,74,170
2025-09-07 12:00,1302,1363,-23,49,-892,74,165
2025-09-07 13:00,1317,1379,-65,50,-893,74,184
2025-09-07 14:00,1310,1360,-308,44,-631,75,171
2025-09-07 15:00,1297,1347,-312,36,-616,109,179
2025-09-07 16:00,1303,1354,-308,35,-630,110,188
