HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2025-10-01 00:00,1065,1097,19,42,-616,74,69
2025-10-01 01:00,1019,1049,26,40,-577,74,81
2025-10-01 02:00,1005,1034,17,33,-587,74,90
2025-10-01 03:00,998,1025,14,33,-568,74,90
2025-10-01 04:00,995,1024,13,33,-552,74,85
2025-10-01 05:00,1016,1047,43,32,-590,74,78
2025-10-01 06:00,1080,1116,53,32,-675,74,82
2025-10-01 07:00,1177,1227,15,35,-830,75,121
2025-10-01 08:00,1317,1375,-118,42,-879,119,157
2025-10-01 09:00,1330,1388,-120,48,-880,119,152
2025-10-01 10:00,1306,1362,-74,39,-880,119,139
2025-10-01 11:00,1285,1336,-6,33,-880,120,118
2025-10-01 12:00,1279,1327,15,19,-860,124,97
2025-10-01 13:00,1247,1294,25,18,-855,125,84
2025-10-01 14:00,1241,1285,24,14,-831,149,53
2025-10-01 15:00,1210,1250,28,17,-806,149,55
2025-10-01 16:00,1202,1244,47,20,-815,149,47
2025-10-01 17:00,1242,1294,58,28,-865,148,49
2025-10-01 18:00,1265,1318,130,34,-879,100,73
2025-10-01 19:00,1266,1318,136,42,-880,50,119
2025-10-01 20:00,1303,1359,160,66,-880,1,80
2025-10-01 21:00,1295,1353,155,63,-870,0,82
2025-10-01 22:00,1236,1284,157,56,-806,0,94
2025-10-01 23:00,1165,1206,148,50,-666,0,74
2025-10-02 00:00,1085,1121,112,50,-666,0,73
2025-10-02 01:00,1033,1068,125,49,-639,0,61
2025-10-02 02:00,1024,1056,110,41,-632,0,65
2025-10-02 03:00,1032,1064,114,43,-632,0,58
2025-10-02 04:00,1045,1076,98,45,-621,0,64
2025-10-02 05:00,1065,1099,122,46,-650,0,63
2025-10-02 06:00,1138,1174,122,49,-740,0,76
2025-10-02 07:00,1344,1393,54,53,-879,0,101
2025-10-02 08:00,1500,1557,-80,63,-880,0,130
2025-10-02 09:00,1510,1560,-179,72,-752,0,120
2025-10-02 10:00,1463,1511,-139,56,-752,1,119
2025-10-02 11:00,1415,1463,-184,40,-752,73,104
2025-10-02 12:00,1380,1427,-183,25,-752,74,106
2025-10-02 13:00,1344,1391,-143,17,-752,75,111
2025-10-02 14:00,1326,1370,-236,12,-630,99,109
2025-10-02 15:00,1301,1347,-208,3,-629,100,113
2025-10-02 16:00,1294,1345,-248,2,-709,145,122
